韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
			蛆			
			罝			
		2	主			
			枓			
			拄			
		3	注			
			疰			
			蛀			
			蠹			
			註			
			鑄			
		4	嘬			
		6	住			
			炷			
			祚			
			聚			
			胙			
			駐			
			酢			
			麈			
	c	1	芻			
			趨			
			雛			
			騶			
		2	娶			
			處			
			取			
			措			
		3	厝			
			處			
			覷		11110	
			趣			
		5	徐			
			滁			
	s	1	須			
			需			
			濡			
			囌			
			湑			
			嬃			
			糈			
			紓			
			抒			
			胥			
			樗			
			舒			
			樗			
			輸			
			鬚			
		2	墅			
			暑			
			署			
			抒			
			攄			
			杵			
			杼			
			曙			
			渚			
			緒			
			翥			
			褚			
			黍			
		3	訴			
			素			
			嗉			
			愫			
			膆			
			塑			
			庶			
			恕			
			愬			
			溯			
			數			
			絮			
		5	殊			
			殳			
			蜍			
		6	豎			
			序			
			敘			
			樹			
			㴻			
			漵			
	r	2	乳			
			茹			
			孺			
			愈			
			月			
			癒			
			窳			
		5	如			
			儒			
			蝓			
			俞			
			嚅			
			孺			
			庾			
			愉			
			揄			
			榆			
			毹			
			洳			
			銣			
			渝			
			濡			
			嵛	崳		
			瑜			
			瘐			
			挐			
			窬			
			腴			
			臾			
			萸			
			茹			
			薷			
			蠕			
			襦			
			覦			
			諛			
			隃			
			顬			
		6	裕			
			喻			
			籲			
			諭			
			逾	踰		
		8	入			
埃	null	1	哀			
			埃			
		2	欸			
			乃	廼迺		
			醢			
			隘			
			噯			
			靄			
			藹			
			曖			
		3	愛			鼻
			嬡			鼻
			慾			鼻
			璦			鼻
			靉			鼻
		5	嬡			
		7	唉			
			哎			
	b	1	㗑			
			唄			
		2	擺			
			捭			
			襬			
		3	拜			
		5	排			
			徘			
			牌			
			箄	簰		
		7	敗			
	p	3	派			
			沛			
			旆			
			湃			
			茷			
			蒎			
			霈			
	m	3	勿			
		5	埋			
			薶			
			霾			
		6	邁			
	bh	5	眉			
			楣			
			嵋			
			鎇			
	d	1	呆			
		2	歹			
			逮			
		3	戴			
			岱			
			玳			
			貸			
			襶			
			黛			
		6	大			
			怠			
			釱			
			殆			
			迨			
			逮			
			靆			
	t	1	篩			
			苔			
		2	呔			
		3	太			
			泰			
			傣			
			態			
			汰			
			鈦			
		5	邰			
			颱			
			臺			
			薹			
			駘			
			鮐			
			擡			
			檯			
		6	待			
	n	2	奶			
			乃	廼迺		
			鼐			
			倷			
			褦			
		6	乃	廼迺		
			奈			
			氖			
			柰			
			瀨			
			癩			
			籟			
			耐			
			賴			
			萘			
	l	3	賚			
			徠			
			睞			
		5	來			
			崍			
			錸			
			梨			
			萊			
			淶			
		6	內			
	g	1	皆			
			偕			
			喈			
			垓			
			楷			
			秸			
			該			
			磑			
			賅			
			荄			
			陔			
			階			
		3	界			
			丐			
			介			
			价			
			尬			
			屆			
			岕			
			斠			
			廨			
			戒			
			疥			
			骱			
			蓋			
			芥			
			蚧			
			誡			
			鈣			
			戤			
		5	個			
	k	1	開			
			鐦			
			揩			
		2	凱			
			剴			
			塏			
			愷			
			楷			
			鎧			
			皚			
			闓			
			磑			
		3	嘅			
			愾			
			暨			
			慨			
			溉			
			概			
	ng	5	呆			
			厓			
			崖			
			捱			
			涯			
			睚			
		6	刈			
			乂			
			岸			
			艾			
			砹			
	gh	7	礙			
	h	1	嗨			
			咳			
			嘿			
		2	嗐			
			海			
		5	孩			
			諧			
			頦			
			駭			
			骸			
			徊			
		6	亥			
			氦			
			咳			
			痎			
			廨			
			懈			
			解			
			械			
			瀣			
			薤			
			邂			
			閡			
		7	害			
	z	1	知			
			栽			
			災			
			菑			
			崽			
		2	宰			
			滓			
			崽			
			載			
		3	再			
			載			
		5	臍			
		6	在			
			豸			
			蠆			
		7	儎			
			哉			
	c	1	猜			
		2	彩			
			採		11100	
			睬			
			綵			
			采			
			踩			
		3	菜			
		5	才			
			財			
			材			
			纔			
			裁			
			豺			
	s	1	西			
			思			
			犀			
			獅			
			腮			
			鰓			
			樨			
		2	使			
			屎			
			駛			
		3	使			
			塞			
			婿			
			曬			
			灑			
			賽			
			鎩			
		6	柿			
歐	null	1	歐			
			凹			
			坳			
			毆			
			漚			
			甌			
			慪			
			謳			
			區			
			鏖			
			鷗			
			靿			
		2	嘔			
			拗			
			媼			
		3	懊			
			奧			
			燠			
		5	喉			
		6	後			
	b	1	包			
			枹			
			孢			
			胞			
			苞			
			麅	狍麃		
			疱	皰		
		2	保			
			堡			
			葆			
			褓			
			鴇			
